From	Entry	Entry Name	Protein names
NP_004724	O00400	ACATN_HUMAN	Acetyl-coenzyme A transporter 1 (AT-1) (Acetyl-CoA transporter 1) (Solute carrier family 33 member 1)
NP_004247	Q9Y226	S22AD_HUMAN	Solute carrier family 22 member 13 (Organic anion transporter 10) (OAT10) (Organic cation transporter-like 3) (ORCTL-3) (ORCTL3)
NP_004794	Q9Y267	S22AE_HUMAN	Solute carrier family 22 member 14 (Organic cation transporter-like 4) (ORCTL-4)
NP_004687	O15374	MOT5_HUMAN	Monocarboxylate transporter 5 (MCT 5) (Monocarboxylate transporter 4) (MCT 4) (Solute carrier family 16 member 4)
NP_004686	O15375	MOT6_HUMAN	Monocarboxylate transporter 6 (MCT 6) (Monocarboxylate transporter 5) (MCT 5) (Solute carrier family 16 member 5)
NP_004685	O15403	MOT7_HUMAN	Monocarboxylate transporter 7 (MCT 7) (Monocarboxylate transporter 6) (MCT 6) (Solute carrier family 16 member 6)
NP_004685	A0A024R8J3	A0A024R8J3_HUMAN	Solute carrier family 16 (Monocarboxylic acid transporters), member 6, isoform CRA_a
NP_005065	Q14916	NPT1_HUMAN	Sodium-dependent phosphate transport protein 1 (Na(+)/PI cotransporter 1) (Na/Pi-4) (Renal Na(+)-dependent phosphate cotransporter 1) (Renal sodium-dependent phosphate transport protein 1) (Renal sodium-phosphate transport protein 1) (Sodium/phosphate cotransporter 1) (Solute carrier family 17 member 1)
NP_005486	Q9Y2C5	S17A4_HUMAN	Probable small intestine urate exporter (Solute carrier family 17 member 4)
NP_005486	A0A024R013	A0A024R013_HUMAN	Solute carrier family 17 (Sodium phosphate), member 4, isoform CRA_a
NP_005826	O00624	NPT3_HUMAN	Sodium-dependent phosphate transport protein 3 (Na(+)/PI cotransporter 3) (Sodium/phosphate cotransporter 3) (Solute carrier family 17 member 2)
NP_005826	A0A024QZY2	A0A024QZY2_HUMAN	Solute carrier family 17 (Sodium phosphate), member 2, isoform CRA_a
NP_006508	P36021	MOT8_HUMAN	Monocarboxylate transporter 8 (MCT 8) (Monocarboxylate transporter 7) (MCT 7) (Solute carrier family 16 member 2) (X-linked PEST-containing transporter)
NP_006507	P11166	GTR1_HUMAN	Solute carrier family 2, facilitated glucose transporter member 1 (Glucose transporter type 1, erythrocyte/brain) (GLUT-1) (HepG2 glucose transporter)
NP_006507	Q59GX2	Q59GX2_HUMAN	Solute carrier family 2, facilitated glucose transporter member 1 (Glucose transporter type 1, erythrocyte/brain)
NP_008862	P11169	GTR3_HUMAN	Solute carrier family 2, facilitated glucose transporter member 3 (Glucose transporter type 3, brain) (GLUT-3)
NP_036566	Q9NRA2	S17A5_HUMAN	Sialin (H(+)/nitrate cotransporter) (H(+)/sialic acid cotransporter) (AST) (Membrane glycoprotein HP59) (Solute carrier family 17 member 5) (Vesicular excitatory amino acid transporter) (VEAT)
NP_037488	O95907	MOT3_HUMAN	Monocarboxylate transporter 3 (MCT 3) (Solute carrier family 16 member 8)
NP_054772	Q9Y5Y0	FLVC1_HUMAN	Feline leukemia virus subgroup C receptor-related protein 1 (Feline leukemia virus subgroup C receptor) (hFLVCR)
NP_054772	B2RB38	B2RB38_HUMAN	cDNA, FLJ95288, highly similar to Homo sapiens feline leukemia virus subgroup C cellular receptor (FLVCR), mRNA
NP_055663	Q7L1I2	SV2B_HUMAN	Synaptic vesicle glycoprotein 2B
NP_055664	Q7L0J3	SV2A_HUMAN	Synaptic vesicle glycoprotein 2A
NP_060164	Q6ZSS7	MFSD6_HUMAN	Major facilitator superfamily domain-containing protein 6 (Macrophage MHC class I receptor 2 homolog)
NP_060261	Q9UPI3	FLVC2_HUMAN	Feline leukemia virus subgroup C receptor-related protein 2 (Calcium-chelate transporter) (CCT)
NP_060055	Q9UGQ3	GTR6_HUMAN	Solute carrier family 2, facilitated glucose transporter member 6 (Glucose transporter type 6) (GLUT-6)
NP_060954	Q9NSA0	S22AB_HUMAN	Solute carrier family 22 member 11 (Organic anion transporter 4) (OAT4) (Organic anion:dicarboxylate exchanger OAT4)
NP_064425	Q9NRM0	GTR9_HUMAN	Solute carrier family 2, facilitated glucose transporter member 9 (Glucose transporter type 9) (GLUT-9) (Urate transporter)
NP_001001290	Q9NRM0	GTR9_HUMAN	Solute carrier family 2, facilitated glucose transporter member 9 (Glucose transporter type 9) (GLUT-9) (Urate transporter)
NP_064705	Q9P2U7	VGLU1_HUMAN	Vesicular glutamate transporter 1 (VGluT1) (Brain-specific Na(+)-dependent inorganic phosphate cotransporter) (Solute carrier family 17 member 7)
NP_065079	Q9P2U8	VGLU2_HUMAN	Vesicular glutamate transporter 2 (VGluT2) (Differentiation-associated BNPI) (Differentiation-associated Na(+)-dependent inorganic phosphate cotransporter) (Solute carrier family 17 member 6)
NP_068812	O75751	S22A3_HUMAN	Solute carrier family 22 member 3 (Extraneuronal monoamine transporter) (EMT) (Organic cation transporter 3) (OCT3)
NP_110404	O95528	GTR10_HUMAN	Solute carrier family 2, facilitated glucose transporter member 10 (Glucose transporter type 10) (GLUT-10)
NP_115595	Q6UXD7	S49A3_HUMAN	Solute carrier family 49 member A3 (Major facilitator superfamily domain-containing protein 7) (Myosin light polypeptide 5 regulatory protein) (MYL5)
NP_115947	Q5SR56	MF14B_HUMAN	Hippocampus abundant transcript-like protein 1 (Major facilitator superfamily domain-containing 14B)
NP_116107	Q8NBP5	MFSD9_HUMAN	Major facilitator superfamily domain-containing protein 9
NP_116107	B4DKY6	B4DKY6_HUMAN	cDNA FLJ57151
NP_116228	Q96SL1	DIRC2_HUMAN	Solute carrier family 49 member 4 (Disrupted in renal cancer protein 2) (Disrupted in renal carcinoma protein 2)
NP_149040	Q9BY10	TSCOT_HUMAN	Thymic stromal cotransporter homolog (Solute carrier family 46 member 2)
NP_149040	A0A024QYV1	A0A024QYV1_HUMAN	Thymic stromal co-transporter, isoform CRA_a
NP_149116	Q86VW1	S22AG_HUMAN	Solute carrier family 22 member 16 (Carnitine transporter 2) (CT2) (Fly-like putative transporter 2) (FLIPT2) (Flipt 2) (Organic cation transporter OKB1) (Organic cation/carnitine transporter 6)
NP_149116	A0A0K0K1K9	A0A0K0K1K9_HUMAN	Epididymis secretory protein Li 18
NP_443117	Q96QE2	MYCT_HUMAN	Proton myo-inositol cotransporter (H(+)-myo-inositol cotransporter) (Hmit) (H(+)-myo-inositol symporter) (Solute carrier family 2 member 13)
NP_439896	Q6NT16	S18B1_HUMAN	MFS-type transporter SLC18B1 (Solute carrier family 18 member B1) (Vesicular polyamine transporter) (VPAT)
NP_542400	Q96NT5	PCFT_HUMAN	Proton-coupled folate transporter (HsPCFT) (hPCFT) (Heme carrier protein 1) (PCFT/HCP1) (Solute carrier family 46 member 1)
NP_542400	A0A024QZ15	A0A024QZ15_HUMAN	Heme carrier protein 1, isoform CRA_a
NP_061063	Q8TF71	MOT10_HUMAN	Monocarboxylate transporter 10 (MCT 10) (Aromatic amino acid transporter 1) (Solute carrier family 16 member 10) (T-type amino acid transporter 1)
NP_003042	P53985	MOT1_HUMAN	Monocarboxylate transporter 1 (MCT 1) (Solute carrier family 16 member 1)
NP_003042	A0A024R0H1	A0A024R0H1_HUMAN	Solute carrier family 16 (Monocarboxylic acid transporters), member 1, isoform CRA_b
NP_612440	Q96ES6	MFSD3_HUMAN	Major facilitator superfamily domain-containing protein 3
NP_004781	Q4U2R8	S22A6_HUMAN	Solute carrier family 22 member 6 (Organic anion transporter 1) (hOAT1) (PAH transporter) (hPAHT) (Renal organic anion transporter 1) (hROAT1)
NP_695009	Q4U2R8	S22A6_HUMAN	Solute carrier family 22 member 6 (Organic anion transporter 1) (hOAT1) (PAH transporter) (hPAHT) (Renal organic anion transporter 1) (hROAT1)
NP_695008	Q4U2R8	S22A6_HUMAN	Solute carrier family 22 member 6 (Organic anion transporter 1) (hOAT1) (PAH transporter) (hPAHT) (Renal organic anion transporter 1) (hROAT1)
NP_695010	Q4U2R8	S22A6_HUMAN	Solute carrier family 22 member 6 (Organic anion transporter 1) (hOAT1) (PAH transporter) (hPAHT) (Renal organic anion transporter 1) (hROAT1)
NP_001111	Q14728	MFS10_HUMAN	Major facilitator superfamily domain-containing protein 10 (Tetracycline transporter-like protein)
NP_002546	Q96BI1	S22AI_HUMAN	Solute carrier family 22 member 18 (Beckwith-Wiedemann syndrome chromosomal region 1 candidate gene A protein) (Efflux transporter-like protein) (Imprinted multi-membrane-spanning polyspecific transporter-related protein 1) (Organic cation transporter-like protein 2) (ORCTL-2) (Solute carrier family 22 member 1-like) (Tumor-suppressing STF cDNA 5 protein) (Tumor-suppressing subchromosomal transferable fragment candidate gene 5 protein) (p45-Beckwith-Wiedemann region 1 A) (p45-BWR1A)
NP_899056	Q96BI1	S22AI_HUMAN	Solute carrier family 22 member 18 (Beckwith-Wiedemann syndrome chromosomal region 1 candidate gene A protein) (Efflux transporter-like protein) (Imprinted multi-membrane-spanning polyspecific transporter-related protein 1) (Organic cation transporter-like protein 2) (ORCTL-2) (Solute carrier family 22 member 1-like) (Tumor-suppressing STF cDNA 5 protein) (Tumor-suppressing subchromosomal transferable fragment candidate gene 5 protein) (p45-Beckwith-Wiedemann region 1 A) (p45-BWR1A)
NP_647480	Q8NDX2	VGLU3_HUMAN	Vesicular glutamate transporter 3 (VGluT3) (Solute carrier family 17 member 8)
NP_055395	Q9NY64	GTR8_HUMAN	Solute carrier family 2, facilitated glucose transporter member 8 (Glucose transporter type 8) (GLUT-8) (Glucose transporter type X1)
NP_055395	A0A024R871	A0A024R871_HUMAN	Solute carrier family 2, (Facilitated glucose transporter) member 8, isoform CRA_a
NP_055395	Q8WZ05	Q8WZ05_HUMAN	Solute carrier family 2, (Facilitated glucose transporter) member 8, isoform CRA_d
NP_061837	P57057	G6PT2_HUMAN	Glucose-6-phosphate exchanger SLC37A1 (Glycerol-3-phosphate permease) (G-3-P permease) (Solute carrier family 37 member 1)
NP_065105	Q8WUG5	S22AH_HUMAN	Solute carrier family 22 member 17 (24p3 receptor) (24p3R) (Brain-type organic cation transporter) (Lipocalin-2 receptor) (Neutrophil gelatinase-associated lipocalin receptor) (NgalR)
NP_057693	Q8WUG5	S22AH_HUMAN	Solute carrier family 22 member 17 (24p3 receptor) (24p3R) (Brain-type organic cation transporter) (Lipocalin-2 receptor) (Neutrophil gelatinase-associated lipocalin receptor) (NgalR)
NP_543142	Q8IVM8	S22A9_HUMAN	Organic anion transporter 7 (OAT7) (Organic anion/short-chain fatty acid exchanger) (Solute carrier family 22 member 9)
NP_660159	Q8TD20	GTR12_HUMAN	Solute carrier family 2, facilitated glucose transporter member 12 (Glucose transporter type 12) (GLUT-12)
NP_689740	Q7RTX9	MOT14_HUMAN	Monocarboxylate transporter 14 (MCT 14) (Solute carrier family 16 member 14)
NP_689812	Q8IWD5	MFS6L_HUMAN	Major facilitator superfamily domain-containing protein 6-like
NP_689991	Q8NHS3	MFSD8_HUMAN	Major facilitator superfamily domain-containing protein 8 (Ceroid-lipofuscinosis neuronal protein 7)
NP_699188	Q8NCK7	MOT11_HUMAN	Monocarboxylate transporter 11 (MCT 11) (Solute carrier family 16 member 11)
NP_703150	Q8TDB8	GTR14_HUMAN	Solute carrier family 2, facilitated glucose transporter member 14 (Glucose transporter type 14) (GLUT-14)
NP_060890	Q8IZD6	S22AF_HUMAN	Solute carrier family 22 member 15 (Fly-like putative transporter 1) (Flipt 1)
NP_061181	Q8N4V2	SVOP_HUMAN	Synaptic vesicle 2-related protein (SV2-related protein)
NP_149044	Q96MC6	MF14A_HUMAN	Hippocampus abundant transcript 1 protein (Major facilitator superfamily domain-containing 14A) (Putative tetracycline transporter-like protein)
NP_004722	O60669	MOT2_HUMAN	Monocarboxylate transporter 2 (MCT 2) (Solute carrier family 16 member 7)
NP_004722	A0A024RBB2	A0A024RBB2_HUMAN	Solute carrier family 16 (Monocarboxylic acid transporters), member 7, isoform CRA_a
NP_003050	Q9H015	S22A4_HUMAN	Solute carrier family 22 member 4 (Ergothioneine transporter) (ET transporter) (Organic cation/carnitine transporter 1)
NP_696961	Q9Y694	S22A7_HUMAN	Solute carrier family 22 member 7 (Novel liver transporter) (Organic anion transporter 2) (hOAT2)
NP_006663	Q9Y694	S22A7_HUMAN	Solute carrier family 22 member 7 (Novel liver transporter) (Organic anion transporter 2) (hOAT2)
NP_004245	Q8TCC7	S22A8_HUMAN	Organic anion transporter 3 (hOAT3) (Organic anion/dicarboxylate exchanger) (Solute carrier family 22 member 8)
NP_055794	Q496J9	SV2C_HUMAN	Synaptic vesicle glycoprotein 2C
NP_055794	B3KT41	B3KT41_HUMAN	Synaptic vesicle glycoprotein 2C (cDNA FLJ37598 fis, clone BRCOC2008642, highly similar to Synaptic vesicle glycoprotein 2C)
NP_001004326	A6NK97	S22AK_HUMAN	Solute carrier family 22 member 20 (Organic anion transporter 6) (Solute carrier family 22 member 20 pseudogene)
NP_110434	Q9BYW1	GTR11_HUMAN	Solute carrier family 2, facilitated glucose transporter member 11 (Glucose transporter type 11) (GLUT-11)
NP_001020110	Q9BYW1	GTR11_HUMAN	Solute carrier family 2, facilitated glucose transporter member 11 (Glucose transporter type 11) (GLUT-11)
NP_001020109	Q9BYW1	GTR11_HUMAN	Solute carrier family 2, facilitated glucose transporter member 11 (Glucose transporter type 11) (GLUT-11)
NP_001020109	Q6PJ99	Q6PJ99_HUMAN	SLC2A11 protein
NP_001034841	Q63ZE4	S22AA_HUMAN	Solute carrier family 22 member 10 (Organic anion transporter 5)
NP_004198	O15427	MOT4_HUMAN	Monocarboxylate transporter 4 (MCT 4) (Solute carrier family 16 member 3)
NP_004198	A0A024R8U1	A0A024R8U1_HUMAN	Solute carrier family 16 (Monocarboxylic acid transporters), member 3, isoform CRA_a
NP_001035888	O15427	MOT4_HUMAN	Monocarboxylate transporter 4 (MCT 4) (Solute carrier family 16 member 3)
NP_001035888	A0A024R8U1	A0A024R8U1_HUMAN	Solute carrier family 16 (Monocarboxylic acid transporters), member 3, isoform CRA_a
NP_001035887	O15427	MOT4_HUMAN	Monocarboxylate transporter 4 (MCT 4) (Solute carrier family 16 member 3)
NP_001035887	A0A024R8U1	A0A024R8U1_HUMAN	Solute carrier family 16 (Monocarboxylic acid transporters), member 3, isoform CRA_a
NP_006623	O00476	NPT4_HUMAN	Sodium-dependent phosphate transport protein 4 (Na(+)/PI cotransporter 4) (NPT4) (Sodium/phosphate cotransporter 4) (Solute carrier family 17 member 3)
NP_006623	A0A024QZX7	A0A024QZX7_HUMAN	Solute carrier family 17 (Sodium phosphate), member 3, isoform CRA_a
NP_001091956	O00476	NPT4_HUMAN	Sodium-dependent phosphate transport protein 4 (Na(+)/PI cotransporter 4) (NPT4) (Sodium/phosphate cotransporter 4) (Solute carrier family 17 member 3)
NP_003618	O75387	LAT3_HUMAN	Large neutral amino acids transporter small subunit 3 (L-type amino acid transporter 3) (Prostate cancer overexpressed gene 1 protein) (Solute carrier family 43 member 1)
NP_003618	A0A024R4Y3	A0A024R4Y3_HUMAN	Solute carrier family 43, member 1, isoform CRA_b
NP_060081	Q8NBI5	S43A3_HUMAN	Equilibrative nucleobase transporter 1 (Protein FOAP-13) (Solute carrier family 43 member 3)
NP_060081	A0A024R4Y2	A0A024R4Y2_HUMAN	HCG39762, isoform CRA_c
NP_054815	Q8NBI5	S43A3_HUMAN	Equilibrative nucleobase transporter 1 (Protein FOAP-13) (Solute carrier family 43 member 3)
NP_054815	A0A024R4Y2	A0A024R4Y2_HUMAN	HCG39762, isoform CRA_c
NP_955361	Q8NBI5	S43A3_HUMAN	Equilibrative nucleobase transporter 1 (Protein FOAP-13) (Solute carrier family 43 member 3)
NP_955361	A0A024R4Y2	A0A024R4Y2_HUMAN	HCG39762, isoform CRA_c
NP_061847	Q86WB7	UN93A_HUMAN	Protein unc-93 homolog A (HmUnc-93A) (Unc-93A)
NP_068764	A1A5C7	S22AN_HUMAN	Solute carrier family 22 member 23
NP_071365	Q9BYT1	S17A9_HUMAN	Solute carrier family 17 member 9
NP_073573	Q9H3U5	MFSD1_HUMAN	Major facilitator superfamily domain-containing protein 1 (Smooth muscle cell-associated protein 4) (SMAP-4)
NP_077287	O43934	MFS11_HUMAN	UNC93-like protein MFSD11 (Major facilitator superfamily domain-containing protein 11) (Protein ET)
NP_077287	A0A024R8U7	A0A024R8U7_HUMAN	UNC93-like protein MFSD11
NP_114427	Q9H2V7	SPNS1_HUMAN	Protein spinster homolog 1 (HSpin1) (Spinster-like protein 1) (Spns1)
NP_116278	Q6N075	MFSD5_HUMAN	Molybdate-anion transporter (Major facilitator superfamily domain-containing protein 5) (Molybdate transporter 2 homolog) (hsMOT2)
NP_689559	Q8N370	LAT4_HUMAN	Large neutral amino acids transporter small subunit 4 (L-type amino acid transporter 4) (Solute carrier family 43 member 2)
NP_699200	Q5TF39	MFS4B_HUMAN	Sodium-dependent glucose transporter 1 (Major facilitator superfamily domain-containing protein 4B)
NP_699200	B3KSA1	B3KSA1_HUMAN	cDNA FLJ35817 fis, clone TESTI2006120, moderately similar to Rattus norvegicus Na+ dependent glucose transporter 1 (Naglt1), mRNA
NP_700357	Q96S37	S22AC_HUMAN	Solute carrier family 22 member 12 (Organic anion transporter 4-like protein) (Renal-specific transporter) (RST) (Urate anion exchanger 1) (URAT1) (Urate:anion antiporter SLC22A12)
NP_700357	B3KP53	B3KP53_HUMAN	cDNA FLJ31175 fis, clone KIDNE2000167, highly similar to Homo sapiens solute carrier family 22 (organic anion/cation transporter), member 12 (SLC22A12), transcript variant 2, mRNA
NP_653186	Q96S37	S22AC_HUMAN	Solute carrier family 22 member 12 (Organic anion transporter 4-like protein) (Renal-specific transporter) (RST) (Urate anion exchanger 1) (URAT1) (Urate:anion antiporter SLC22A12)
NP_777619	Q8N434	SVOPL_HUMAN	Putative transporter SVOPL (SV2-related protein-like) (SVOP-like protein)
NP_857595	Q8N468	MFD4A_HUMAN	Major facilitator superfamily domain-containing protein 4A (Major facilitator superfamily domain-containing protein 4)
NP_857595	Q96KX6	Q96KX6_HUMAN	MFSD4 protein
NP_861450	Q7Z3Q1	S46A3_HUMAN	Solute carrier family 46 member 3
NP_861450	A0A024RDN9	A0A024RDN9_HUMAN	Solute carrier family 46 member 3
NP_872344	Q6ZMD2	SPNS3_HUMAN	Protein spinster homolog 3
NP_919274	Q7RTY1	MOT9_HUMAN	Monocarboxylate transporter 9 (MCT 9) (Solute carrier family 16 member 9)
NP_938018	Q8TED4	G6PT3_HUMAN	Glucose-6-phosphate exchanger SLC37A2 (Solute carrier family 37 member 2)
NP_955384	Q6T423	S22AP_HUMAN	Solute carrier family 22 member 25 (Organic anion transporter UST6)
NP_963860	Q7RTY0	MOT13_HUMAN	Monocarboxylate transporter 13 (MCT 13) (Solute carrier family 16 member 13)
NP_996996	Q8NCC5	SPX3_HUMAN	Sugar phosphate exchanger 3 (Solute carrier family 37 member 3)
NP_115671	Q8NCC5	SPX3_HUMAN	Sugar phosphate exchanger 3 (Solute carrier family 37 member 3)
NP_997303	Q6PXP3	GTR7_HUMAN	Solute carrier family 2, facilitated glucose transporter member 7 (Glucose transporter type 7) (GLUT-7) (hGLUT7)
NP_998771	Q6ZSM3	MOT12_HUMAN	Monocarboxylate transporter 12 (MCT 12) (Creatine transporter 2) (CRT2) (Solute carrier family 16 member 12)
NP_060712	Q96FL8	S47A1_HUMAN	Multidrug and toxin extrusion protein 1 (MATE-1) (hMATE-1) (Solute carrier family 47 member 1)
NP_690872	Q86VL8	S47A2_HUMAN	Multidrug and toxin extrusion protein 2 (MATE-2) (hMATE-2) (Kidney-specific H(+)/organic cation antiporter) (Solute carrier family 47 member 2)
NP_001093116	Q86VL8	S47A2_HUMAN	Multidrug and toxin extrusion protein 2 (MATE-2) (hMATE-2) (Kidney-specific H(+)/organic cation antiporter) (Solute carrier family 47 member 2)
NP_443091	Q96AA3	RFT1_HUMAN	Protein RFT1 homolog
NP_112233	Q9BWM7	SFXN3_HUMAN	Sideroflexin-3
NP_653180	Q8TD22	SFXN5_HUMAN	Sideroflexin-5
NP_073591	Q9H9B4	SFXN1_HUMAN	Sideroflexin-1
NP_849189	Q96NB2	SFXN2_HUMAN	Sideroflexin-2
NP_998814	Q6P4A7	SFXN4_HUMAN	Sideroflexin-4 (Breast cancer resistance marker 1)
NP_005107	Q9UGH3	S23A2_HUMAN	Solute carrier family 23 member 2 (Na(+)/L-ascorbic acid transporter 2) (Nucleobase transporter-like 1 protein) (Sodium-dependent vitamin C transporter 2) (hSVCT2) (Yolk sac permease-like molecule 2)
NP_005107	A0A140VK48	A0A140VK48_HUMAN	Solute carrier family 23 (Nucleobase transporters), member 2, isoform CRA_b (Testicular secretory protein Li 48)
NP_976072	Q9UGH3	S23A2_HUMAN	Solute carrier family 23 member 2 (Na(+)/L-ascorbic acid transporter 2) (Nucleobase transporter-like 1 protein) (Sodium-dependent vitamin C transporter 2) (hSVCT2) (Yolk sac permease-like molecule 2)
NP_976072	A0A140VK48	A0A140VK48_HUMAN	Solute carrier family 23 (Nucleobase transporters), member 2, isoform CRA_b (Testicular secretory protein Li 48)
NP_653313	Q6PIS1	S23A3_HUMAN	Solute carrier family 23 member 3 (HPC E2-binding protein 3) (Na(+)/L-ascorbic acid transporter 3) (Sodium-dependent vitamin C transporter 3)
NP_005838	Q9UHI7	S23A1_HUMAN	Solute carrier family 23 member 1 (Na(+)/L-ascorbic acid transporter 1) (Sodium-dependent vitamin C transporter 1) (hSVCT1) (Yolk sac permease-like molecule 3)
NP_689898	Q9UHI7	S23A1_HUMAN	Solute carrier family 23 member 1 (Na(+)/L-ascorbic acid transporter 1) (Sodium-dependent vitamin C transporter 1) (hSVCT1) (Yolk sac permease-like molecule 3)
NP_000569	P49279	NRAM1_HUMAN	Natural resistance-associated macrophage protein 1 (NRAMP 1) (Solute carrier family 11 member 1)
NP_000608	P49281	NRAM2_HUMAN	Natural resistance-associated macrophage protein 2 (NRAMP 2) (Divalent cation transporter 1) (Divalent metal transporter 1) (DMT-1) (Solute carrier family 11 member 2)
NP_003033	P30531	SC6A1_HUMAN	Sodium- and chloride-dependent GABA transporter 1 (GAT-1) (Solute carrier family 6 member 1)
NP_003033	A0A024R2K8	A0A024R2K8_HUMAN	Transporter
NP_001035	Q01959	SC6A3_HUMAN	Sodium-dependent dopamine transporter (DA transporter) (DAT) (Solute carrier family 6 member 3)
NP_001036	P31645	SC6A4_HUMAN	Sodium-dependent serotonin transporter (SERT) (5HT transporter) (5HTT) (Solute carrier family 6 member 4)
NP_001036	B2R7Y7	B2R7Y7_HUMAN	Transporter
NP_003034	P31641	SC6A6_HUMAN	Sodium- and chloride-dependent taurine transporter (Solute carrier family 6 member 6)
NP_003034	B4E140	B4E140_HUMAN	Transporter
NP_003034	Q59GD7	Q59GD7_HUMAN	Transporter
NP_001034	P23975	SC6A2_HUMAN	Sodium-dependent noradrenaline transporter (Norepinephrine transporter) (NET) (Solute carrier family 6 member 2)
NP_001034	A0A024R6T9	A0A024R6T9_HUMAN	Transporter
NP_004202	Q9Y345	SC6A5_HUMAN	Sodium- and chloride-dependent glycine transporter 2 (GlyT-2) (GlyT2) (Solute carrier family 6 member 5)
NP_004202	Q4VAM4	Q4VAM4_HUMAN	SLC6A5 protein
NP_004202	Q4VAM6	Q4VAM6_HUMAN	Transporter
NP_005620	P48029	SC6A8_HUMAN	Sodium- and chloride-dependent creatine transporter 1 (CT1) (Creatine transporter 1) (Solute carrier family 6 member 8)
NP_005620	X5D9C4	X5D9C4_HUMAN	Transporter
NP_009162	Q9UN76	S6A14_HUMAN	Sodium- and chloride-dependent neutral and basic amino acid transporter B(0+) (Amino acid transporter ATB0+) (Solute carrier family 6 member 14)
NP_009162	B2R8J1	B2R8J1_HUMAN	Transporter
NP_055044	P48066	S6A11_HUMAN	Sodium- and chloride-dependent GABA transporter 3 (GAT-3) (Solute carrier family 6 member 11)
NP_055043	Q99884	SC6A7_HUMAN	Sodium-dependent proline transporter (Solute carrier family 6 member 7)
NP_054756	Q9GZN6	S6A16_HUMAN	Orphan sodium- and chloride-dependent neurotransmitter transporter NTT5 (Solute carrier family 6 member 16)
NP_071800	Q9NP91	S6A20_HUMAN	Sodium- and chloride-dependent transporter XTRP3 (Sodium/imino-acid transporter 1) (Solute carrier family 6 member 20) (Transporter rB21A homolog)
NP_064593	Q9NP91	S6A20_HUMAN	Sodium- and chloride-dependent transporter XTRP3 (Sodium/imino-acid transporter 1) (Solute carrier family 6 member 20) (Transporter rB21A homolog)
NP_003035	P48065	S6A12_HUMAN	Sodium- and chloride-dependent betaine transporter (BGT-1) (Na(+)/Cl(-) betaine/GABA transporter) (Solute carrier family 6 member 12)
NP_057699	Q9NSD5	S6A13_HUMAN	Sodium- and chloride-dependent GABA transporter 2 (GAT-2) (Solute carrier family 6 member 13)
NP_877499	Q9H2J7	S6A15_HUMAN	Sodium-dependent neutral amino acid transporter B(0)AT2 (Sodium- and chloride-dependent neurotransmitter transporter NTT73) (Sodium-coupled branched-chain amino-acid transporter 1) (Solute carrier family 6 member 15) (Transporter v7-3)
NP_060527	Q9H2J7	S6A15_HUMAN	Sodium-dependent neutral amino acid transporter B(0)AT2 (Sodium- and chloride-dependent neurotransmitter transporter NTT73) (Sodium-coupled branched-chain amino-acid transporter 1) (Solute carrier family 6 member 15) (Transporter v7-3)
NP_001003841	Q695T7	S6A19_HUMAN	Sodium-dependent neutral amino acid transporter B(0)AT1 (Solute carrier family 6 member 19) (System B(0) neutral amino acid transporter AT1)
NP_001010898	Q9H1V8	S6A17_HUMAN	Sodium-dependent neutral amino acid transporter SLC6A17 (Sodium-dependent neurotransmitter transporter NTT4) (Solute carrier family 6 member 17)
NP_964012	P48067	SC6A9_HUMAN	Sodium- and chloride-dependent glycine transporter 1 (GlyT-1) (GlyT1) (Solute carrier family 6 member 9)
NP_001020016	P48067	SC6A9_HUMAN	Sodium- and chloride-dependent glycine transporter 1 (GlyT-1) (GlyT1) (Solute carrier family 6 member 9)
NP_008865	P48067	SC6A9_HUMAN	Sodium- and chloride-dependent glycine transporter 1 (GlyT-1) (GlyT1) (Solute carrier family 6 member 9)
NP_872438	Q96N87	S6A18_HUMAN	Inactive sodium-dependent neutral amino acid transporter B(0)AT3 (Sodium- and chloride-dependent transporter XTRP2) (Solute carrier family 6 member 18) (System B(0) neutral amino acid transporter AT3)
NP_005621	Q92959	SO2A1_HUMAN	Solute carrier organic anion transporter family member 2A1 (SLCO2A1) (OATP2A1) (PHOAR2) (Prostaglandin transporter) (PGT) (Solute carrier family 21 member 2) (SLC21A2)
NP_009187	O94956	SO2B1_HUMAN	Solute carrier organic anion transporter family member 2B1 (Organic anion transporter B) (OATP-B) (Organic anion transporter polypeptide-related protein 2) (OATP-RP2) (OATPRP2) (Organic anion transporting polypeptide 2B1) (OATP2B1) (Solute carrier family 21 member 9)
NP_009187	A0A024R5I4	A0A024R5I4_HUMAN	Solute carrier organic anion transporter family member
NP_037404	Q9UIG8	SO3A1_HUMAN	Solute carrier organic anion transporter family member 3A1 (OATP3A1) (Organic anion transporter polypeptide-related protein 3) (OATP-RP3) (OATPRP3) (Organic anion-transporting polypeptide D) (OATP-D) (PGE1 transporter) (Sodium-independent organic anion transporter D) (Solute carrier family 21 member 11)
NP_059131	Q9NYB5	SO1C1_HUMAN	Solute carrier organic anion transporter family member 1C1 (Organic anion transporter 1C1) (OATP1C1) (Organic anion transporter F) (OATP-F) (Organic anion transporter polypeptide-related protein 5) (OAT-RP-5) (OATP-RP5) (Organic anion-transporting polypeptide 14) (OATP-14) (Solute carrier family 21 member 14) (Thyroxine transporter)
